№;Название;Тикер; ; ;Капит-я млрд руб;EV млрд руб;Выручка;Чистая прибыль;ДД ао, %;ДД ап, %;ДД/ЧП, %;P/E;P/S;P/B;EV/EBITDA;Рентаб. EBITDA;долг/EBITDA;отчет
87;ВсеИнструменты.ру;VSEH;;;39;51;177;1.7;0.0%;;;22.8;0.2;29.8;4.0;7%;0.9;LTM-МСФО
88;Русснефть;RNFT;;;37;122;300;54.4;0.0%;;16%;0.7;0.1;0.3;1.6;25%;1.2;LTM-МСФО
89;ДЭК;DVEC;;;36;48;184;2.8;7.9%;;104%;13.2;0.2;1.4;4.4;6%;1.1;LTM-МСФО
90;Мостотрест;MSTT;;;36;29;4;-3.8;0.0%;;;-9.6;9.8;8.6;;;;LTM-МСФО
91;Россети Урал;MRKU;;;35;54;117;9.9;9.5%;;33%;3.5;0.3;0.5;2.1;22%;0.8;LTM-МСФО
92;Ашинский МЗ;AMEZ;;;34;48;37;4.8;111.7%;;799%;7.2;0.9;2.5;;;;LTM-МСФО
93;Южный Кузбасс;UKUZ;;;33;83;39;-17.1;0.0%;;;-1.9;0.8;-0.7;-15.2;-14%;-9.2;LTM-МСФО
94;ТНС энерго;TNSE;;;33;16;308;10.6;0.0%;;;3.1;0.1;-1 726.5;1.2;4%;-1.2;LTM-МСФО
95;Диасофт;DIAS;;;32;31;10;2.4;6.8%;;91%;13.4;3.2;9.7;9.9;31%;-0.3;LTM-МСФО
96;Энергия РКК;RKKE;;;30;38;50;0.5;0.0%;;;63.3;0.6;-12.6;;;;LTM-МСФО
97;СПб Биржа (SPB);SPBE;;;29;15;4;1.0;0.0%;;;29.2;7.4;1.5;4.1;92%;-4.0;LTM-МСФО
98;Делимобиль (Каршеринг Руссия);DELI;;;28;57;28;;0.6%;;;;1.0;4.9;9.8;21%;4.9;LTM-МСФО
99;Аренадата;DATA;;;28;27;6;2.0;2.8%;;102%;14.5;4.7;12.4;12.3;36%;-0.6;LTM-МСФО
100;ОМЗ;OMZZ;;;26;27;27;9.3;;0.0%;;2.8;1.0;0.7;;;;LTM-МСФО
101;Россети Центр;MRKC;;;25;61;141;7.4;11.4%;;39%;3.4;0.2;0.4;1.9;23%;1.1;LTM-МСФО
102;ТГК-1;TGKA;;;25;34;73;7.2;12.9%;;44%;3.4;0.3;0.2;2.3;20%;0.7;LTM-МСФО
103;Квадра;TGKD;;;24;50;60;-4.2;0.0%;0.0%;;-5.8;0.4;0.6;6.7;13%;3.5;LTM-МСФО
104;Камчатскэнерго;KCHE;;;24;39;22;-0.8;0.0%;0.0%;;-29.1;1.1;1.6;19.6;9%;7.7;LTM-МСФО
105;Henderson (Хэндерсон фэшн групп);HNFG;;;24;24;21;3.1;5.1%;;39%;7.8;1.1;3.6;3.1;38%;0.1;LTM-МСФО
106;Сегежа Групп;SGZH;;;24;177;104;-23.9;0.0%;;;-1.0;0.2;-2.1;19.0;9%;16.5;LTM-МСФО
107;ТНС энерго Ростов-на-Дону;RTSB;;;23;20;60;1.1;3.9%;8.1%;86%;21.2;0.4;6.8;;;;LTM-МСФО
108;ОКС;UCSS;;;23;23;5;2.6;0.0%;;;8.8;4.9;1.1;;;;LTM-РСБУ
109;ТНС энерго Воронеж;VRSB;;;23;20;32;2.3;4.1%;11.7%;49%;9.9;0.7;3.2;10.1;6%;-1.6;LTM-МСФО
110;Эталон;ETLN;;;22;91;131;-2.0;0.0%;;;-11.1;0.2;0.4;;;;LTM-МСФО
111;ЕВРОТРАНС;EUTR;;;21;70;186;5.5;16.0%;;61%;3.8;0.1;0.8;4.1;9%;2.9;LTM-МСФО
112;Соллерс;SVAV;;;20;23;92;3.7;11.0%;;59%;5.4;0.2;1.4;4.0;6%;0.5;LTM-МСФО
113;КТК;KBTK;;;19;25;53;-2.6;0.0%;;;-7.4;0.4;1.4;11.5;4%;2.8;LTM-МСФО
114;Славнефть-ЯНОС;JNOS;;;18;68;48;3.8;0.0%;0.1%;0%;4.8;0.4;0.2;;;;LTM-РСБУ
115;Вуш Холдинг | WHOOSH;WUSH;;;18;27;14;2.0;1.3%;;12%;9.2;1.3;2.6;4.5;42%;1.5;LTM-МСФО
116;Уральская кузница;URKZ;;;18;19;24;8.9;0.0%;;;2.0;0.8;0.3;2.8;30%;0.2;LTM-МСФО
117;Россети Волга;MRKV;;;18;20;83;3.2;7.8%;;43%;5.6;0.2;0.4;;;;LTM-РСБУ
118;Абрау-Дюрсо;ABRD;;;18;26;14;1.3;2.8%;;43%;13.8;1.3;1.3;9.1;21%;3.0;LTM-МСФО
119;Эл5 Энерго (Энел);ELFV;;;18;41;71;4.6;0.0%;;;3.8;0.2;0.5;2.8;20%;1.6;LTM-МСФО
120;М.Видео-Эльдорадо;MVID;;;17;103;452;-20.1;0.0%;;;-0.8;0.0;-0.2;2.7;8%;2.3;LTM-МСФО
121;Белон;BLNG;;;16;16;3;1.1;0.0%;;;14.6;5.2;1.2;;;;LTM-МСФО
122;Выборгский судостроительный завод (ВСЗ);VSYDP;;;15;8;16;1.0;0.0%;;;15.1;0.9;-6.1;6.0;8%;-5.7;LTM-МСФО
123;ЧМК;CHMK;;;15;167;172;-7.1;0.0%;;;-2.1;0.1;0.3;24.5;4%;22.3;LTM-МСФО
124;ЦМТ;WTCM;;;15;-1;10;3.1;0.0%;0.0%;;4.9;1.6;0.3;-0.4;41%;-4.2;LTM-МСФО
