<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,210104,000000,74908,74920,73555,74852,3414397
Si,D,210105,000000,74808,75818,74360,74548,3880408
Si,D,210106,000000,74520,74730,73908,74423,3204361
Si,D,210108,000000,74450,75350,74330,74611,3776240
Si,D,210111,000000,74668,75528,74621,75174,3692789
Si,D,210112,000000,75170,75170,73992,74035,3825474
Si,D,210113,000000,74035,74485,73859,74234,3617377
Si,D,210114,000000,74229,74513,73583,73692,3939392
Si,D,210115,000000,73692,74368,73692,74081,3675454
Si,D,210118,000000,74105,74863,74105,74470,3262429
Si,D,210119,000000,74470,74470,74037,74126,3075706
Si,D,210120,000000,74126,74144,73647,73952,3061367
Si,D,210121,000000,73940,74564,73600,74300,3895511
Si,D,210122,000000,74300,75799,74300,75744,4424768
Si,D,210125,000000,75730,76270,74987,75767,5171926
Si,D,210126,000000,75796,76220,75357,75497,4199489
Si,D,210127,000000,75495,76416,75267,76273,4877488
Si,D,210128,000000,76290,76938,76086,76376,4563476
Si,D,210129,000000,76380,76761,75624,76148,4651650
Si,D,210201,000000,76127,76595,75733,76520,3915589
Si,D,210202,000000,76500,76617,75676,76608,4648401
Si,D,210203,000000,76592,76712,76127,76226,3725816
Si,D,210204,000000,76299,76414,75639,75834,3653870
Si,D,210205,000000,75827,75827,74830,74965,3583760
Si,D,210208,000000,74955,74955,74447,74595,2812502
Si,D,210209,000000,74590,74590,74163,74175,3335821
Si,D,210210,000000,74161,74311,73911,74245,3005987
Si,D,210211,000000,74235,74235,73801,73916,2527858
Si,D,210212,000000,73920,74731,73736,73941,5369879
Si,D,210215,000000,73940,73940,73385,73570,2492672
Si,D,210216,000000,73555,74159,73374,73879,3728447
Si,D,210217,000000,73886,74440,73771,73942,4090107
Si,D,210218,000000,73960,74393,73725,74142,3458037
Si,D,210219,000000,74144,74400,73981,74320,3125997
Si,D,210220,000000,74315,74363,74051,74246,797895
Si,D,210222,000000,74247,75253,74247,74495,3464168
Si,D,210224,000000,74470,74470,73579,73703,4119817
Si,D,210225,000000,73684,75005,73500,74879,4597192
Si,D,210226,000000,74876,75085,74400,74767,5082072
Si,D,210301,000000,74761,74761,74048,74311,3110572
Si,D,210302,000000,74325,74868,73733,73942,4660518
Si,D,210303,000000,73941,74191,73517,74100,3562298
