<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,210304,000000,74080,75103,73456,74823,5031168
Si,D,210305,000000,74800,74867,74189,74277,4543025
Si,D,210309,000000,74300,74616,73853,73978,3027218
Si,D,210310,000000,73985,74974,73924,74429,1205462
Si,D,210311,000000,74429,74693,74013,74112,230933
Si,D,210312,000000,74140,74540,74031,74130,305854
Si,D,210315,000000,74120,74267,73600,73610,591837
Si,D,210316,000000,73620,73860,73337,73671,690406
Si,D,210317,000000,73699,74994,73699,74411,2638799
Si,D,210318,000000,74442,75219,74216,75131,3736762
Si,D,210319,000000,75128,75278,74521,74882,3519737
Si,D,210322,000000,74928,75890,74928,75720,3613893
Si,D,210323,000000,75733,77254,75720,77254,4907548
Si,D,210324,000000,77255,77837,76503,77403,4788948
Si,D,210325,000000,77410,77490,76536,76995,4077047
Si,D,210326,000000,76980,76989,76362,76428,3617125
Si,D,210329,000000,76429,76892,76305,76448,2644532
Si,D,210330,000000,76409,76965,76137,76621,3187554
Si,D,210331,000000,76648,76781,75963,76453,3487370
Si,D,210401,000000,76490,77187,76285,77011,3615309
Si,D,210402,000000,77014,77290,76643,77280,1861360
Si,D,210405,000000,77280,77462,76690,77094,2899323
Si,D,210406,000000,77084,78049,76870,77999,3767492
Si,D,210407,000000,77971,78769,77560,77688,5064443
Si,D,210408,000000,77680,78097,77312,77557,3854699
Si,D,210409,000000,77575,78178,77557,78084,3154479
Si,D,210412,000000,78085,78457,77750,78051,3393930
Si,D,210413,000000,78068,78249,76466,76590,4464671
Si,D,210414,000000,76602,76660,76095,76535,3152753
Si,D,210415,000000,76539,78190,76539,76969,6249868
Si,D,210416,000000,76975,77119,75923,76435,3477231
Si,D,210419,000000,76435,77045,76435,76948,2958088
Si,D,210420,000000,76948,77648,76497,77430,4043023
Si,D,210421,000000,77430,77643,76897,77153,3667795
Si,D,210422,000000,77147,77358,75796,75991,4478405
Si,D,210423,000000,76005,76099,75200,75515,3459987
Si,D,210426,000000,75517,76107,75147,75490,2883678
Si,D,210427,000000,75483,75695,75308,75385,2430248
Si,D,210428,000000,75385,75524,74836,74885,2896497
Si,D,210429,000000,74880,75259,74676,75132,2686269
Si,D,210430,000000,75151,75700,74914,75665,3385994
Si,D,210504,000000,75640,75798,75119,75287,2852621
Si,D,210505,000000,75253,75420,74993,75303,2134133
Si,D,210506,000000,75283,75318,74600,74619,2292043
Si,D,210507,000000,74618,74686,73901,74157,2647643
Si,D,210510,000000,74172,74740,73874,74738,2212423
Si,D,210511,000000,74739,74799,74180,74488,2725979
Si,D,210512,000000,74490,75023,74260,74997,3151433
Si,D,210513,000000,74985,74985,74136,74360,3163951
Si,D,210514,000000,74360,74424,74037,74320,2233832
Si,D,210517,000000,74321,74430,74000,74088,2364684
Si,D,210518,000000,74102,74243,73820,74014,2568597
Si,D,210519,000000,73980,74196,73810,74072,2709020
Si,D,210520,000000,74073,74217,73707,73794,2320876
Si,D,210521,000000,73809,73949,73590,73852,2534017
Si,D,210524,000000,73851,74096,73641,73692,3007311
Si,D,210525,000000,73690,73798,73411,73734,2214801
Si,D,210526,000000,73735,73943,73477,73708,2353720
Si,D,210527,000000,73708,73793,73512,73693,2074045
Si,D,210528,000000,73671,73882,73310,73325,2949486
Si,D,210531,000000,73325,73649,73321,73615,1360921
Si,D,210601,000000,73601,73845,73246,73690,2782991
Si,D,210602,000000,73702,73908,73224,73274,2451970
Si,D,210603,000000,73270,73487,73151,73377,2198841
Si,D,210604,000000,73377,73436,72867,72873,2266731
Si,D,210607,000000,72899,73150,72841,72928,1488400
Si,D,210608,000000,72929,73022,72356,72386,2312360
Si,D,210609,000000,72361,72470,72059,72382,2121390
Si,D,210610,000000,72381,73307,72187,72834,912791
Si,D,210611,000000,72850,73270,72563,73183,305302
Si,D,210614,000000,73132,73399,73015,73109,244009
Si,D,210615,000000,73105,73364,72740,73212,683306
Si,D,210616,000000,73195,73697,72689,73600,1618449
Si,D,210617,000000,73594,73691,73055,73297,3193503
Si,D,210618,000000,73288,73820,73028,73799,2812675
Si,D,210621,000000,73799,74297,73759,74082,2812265
Si,D,210622,000000,74080,74241,73731,73804,2033832
Si,D,210623,000000,73826,73849,73265,73522,2890182
Si,D,210624,000000,73549,73599,73029,73221,2159239
Si,D,210625,000000,73239,73253,72907,73087,1696701
Si,D,210628,000000,73080,73188,72957,72966,1727801
Si,D,210629,000000,72990,73770,72990,73668,2775449
Si,D,210630,000000,73668,74136,73520,74031,2822371
Si,D,210701,000000,74039,74419,73667,74276,3206985
Si,D,210702,000000,74275,74642,73970,74094,3139847
Si,D,210705,000000,74081,74443,74054,74287,1377719
Si,D,210706,000000,74287,75639,73972,75267,3537573
Si,D,210707,000000,75258,75760,74764,75555,3618880
Si,D,210708,000000,75555,76186,75460,75592,3503433
Si,D,210709,000000,75577,75629,74955,75142,2838924
Si,D,210712,000000,75137,75586,75093,75201,2374622
Si,D,210713,000000,75190,75190,74653,75076,3217355
Si,D,210714,000000,75105,75140,74696,74847,2167514
Si,D,210715,000000,74849,75201,74810,75125,2262975
Si,D,210716,000000,75125,75139,74659,74779,2800422
Si,D,210719,000000,74805,75495,74805,75373,3352719
Si,D,210720,000000,75367,75428,74988,75065,3024848
Si,D,210721,000000,75068,75266,74576,74680,2669651
Si,D,210722,000000,74680,74699,74262,74373,2450739
Si,D,210723,000000,74380,74510,74154,74408,2256723
Si,D,210726,000000,74385,74925,74251,74280,2640620
Si,D,210727,000000,74290,74575,74201,74381,2221632
Si,D,210728,000000,74368,74478,74000,74095,2683178
Si,D,210729,000000,74110,74125,73605,73752,2241988
Si,D,210730,000000,73764,74021,73308,73700,2980358
Si,D,210802,000000,73727,73800,73236,73595,2266934
Si,D,210803,000000,73595,73749,73323,73475,2153225
Si,D,210804,000000,73493,73836,73220,73699,2621966
Si,D,210805,000000,73699,73809,73509,73584,1924279
Si,D,210806,000000,73581,73990,73450,73950,2344013
Si,D,210809,000000,73937,74190,73825,74161,2074268
Si,D,210810,000000,74145,74514,73943,74402,2362731
Si,D,210811,000000,74411,74595,73784,73844,2755919
Si,D,210812,000000,73851,74112,73754,74025,1968456
Si,D,210813,000000,74022,74045,73552,73611,1874363
Si,D,210816,000000,73626,73882,73575,73630,2108333
Si,D,210817,000000,73633,74000,73633,73949,2383835
Si,D,210818,000000,73946,74237,73701,74200,2341430
Si,D,210819,000000,74200,74700,74200,74500,2815432
Si,D,210820,000000,74520,74901,74415,74582,2417351
Si,D,210823,000000,74582,74582,74229,74460,1959865
Si,D,210824,000000,74438,74461,74005,74023,2300935
Si,D,210825,000000,74033,74372,73938,74224,2007106
Si,D,210826,000000,74224,74755,74193,74512,2452145
Si,D,210827,000000,74512,74512,73752,73778,2936346
Si,D,210830,000000,73769,73900,73634,73720,1768754
Si,D,210831,000000,73720,73720,73403,73433,1828615
Si,D,210901,000000,73438,73495,72988,73150,1838639
Si,D,210902,000000,73160,73238,72871,73050,1521789
Si,D,210903,000000,73068,73072,72671,72869,2077270
Si,D,210906,000000,72878,73187,72868,73133,1505753
Si,D,210907,000000,73125,73500,73030,73385,1995998
Si,D,210908,000000,73396,73634,73204,73220,2458807
Si,D,210909,000000,73226,73395,72903,73084,2623269
Si,D,210910,000000,73068,74455,72772,74426,933450
Si,D,210913,000000,74409,74450,73865,73874,373153
Si,D,210914,000000,73883,74198,73732,74121,606175
Si,D,210915,000000,74130,74273,73425,73461,1161104
Si,D,210916,000000,73475,73800,73443,73692,2228176
Si,D,210917,000000,73720,74080,73580,74009,2267873
Si,D,210920,000000,74022,74765,74001,74609,2940459
Si,D,210921,000000,74590,74620,74080,74212,2463976
Si,D,210922,000000,74208,74240,73713,74150,2921900
Si,D,210923,000000,74130,74130,73651,73931,2347952
Si,D,210924,000000,73912,74150,73752,73779,2158825
Si,D,210927,000000,73780,73812,73477,73577,2045003
Si,D,210928,000000,73576,74077,73427,73842,2713270
Si,D,210929,000000,73842,73974,73636,73880,2326176
Si,D,210930,000000,73880,73995,73595,73776,2799266
Si,D,211001,000000,73780,74246,73638,73703,3404726
Si,D,211004,000000,73704,73982,73370,73466,2660073
Si,D,211005,000000,73480,73647,73225,73303,2129127
Si,D,211006,000000,73327,73694,73294,73373,2883064
Si,D,211007,000000,73370,73420,72601,72601,2843861
Si,D,211008,000000,72634,72936,72523,72764,2263148
Si,D,211011,000000,72763,72781,72418,72758,1646855
Si,D,211012,000000,72750,72882,72598,72736,2178846
Si,D,211013,000000,72731,73000,72603,72868,2285994
Si,D,211014,000000,72850,72850,72150,72191,2705651
Si,D,211015,000000,72195,72240,71704,71837,2049014
Si,D,211018,000000,71837,72179,71710,72113,1820281
Si,D,211019,000000,72080,72080,71581,71658,2037554
Si,D,211020,000000,71658,71908,71538,71575,1943609
Si,D,211021,000000,71599,72065,71570,71853,2677412
Si,D,211022,000000,71843,71889,70522,71051,3590120
Si,D,211025,000000,71047,71234,70429,70440,2749354
Si,D,211026,000000,70450,70488,69929,70252,2667942
Si,D,211027,000000,70222,71390,70121,71343,3989917
Si,D,211028,000000,71349,71473,70745,70882,3260249
Si,D,211029,000000,70881,71658,70839,71591,2793328
Si,D,211101,000000,71591,72286,71352,72173,2928754
Si,D,211102,000000,72172,72630,71988,72163,3367553
Si,D,211103,000000,72167,72804,71877,72317,4349705
Si,D,211105,000000,72317,72526,71569,71803,3002964
Si,D,211108,000000,71781,72061,71645,71783,2471616
Si,D,211109,000000,71750,71892,71175,71261,2649043
Si,D,211110,000000,71261,71847,71002,71800,3525065
Si,D,211111,000000,71800,72290,71464,72120,3030583
Si,D,211112,000000,72102,73683,71962,73359,5813071
Si,D,211115,000000,73336,73336,72451,73013,3733680
Si,D,211116,000000,72979,73949,72752,73556,4240537
Si,D,211117,000000,73572,73742,72743,73000,3856352
Si,D,211118,000000,73019,73781,72857,73480,3403994
Si,D,211119,000000,73480,74050,73057,73846,4181339
Si,D,211122,000000,73847,75442,73525,75168,4978274
Si,D,211123,000000,75175,75649,74407,74601,4720041
Si,D,211124,000000,74600,75378,74415,75314,3844706
Si,D,211125,000000,75302,75302,74792,75002,2033983
Si,D,211126,000000,75015,76209,75015,75870,4772319
Si,D,211129,000000,75860,75860,74510,74875,4010114
Si,D,211130,000000,74844,75370,74213,74303,4840060
Si,D,211201,000000,74304,74612,73915,74463,3451043
Si,D,211202,000000,74450,74514,73729,73854,3581757
Si,D,211203,000000,73900,74154,73473,74079,2699765
Si,D,211206,000000,74040,74611,73653,74523,3138385
Si,D,211207,000000,74525,74700,73976,74204,3388152
Si,D,211208,000000,74200,74200,73633,73727,2902426
Si,D,211209,000000,73715,73879,73570,73820,2129685
Si,D,211210,000000,73818,75138,73485,74919,1275819
Si,D,211213,000000,74946,75248,74774,75055,319480
Si,D,211214,000000,75079,75454,74925,75341,505885
Si,D,211215,000000,75340,75899,75195,75205,1231723
Si,D,211216,000000,75205,75388,74852,75265,2437346
Si,D,211217,000000,75262,75765,75034,75640,2730941
Si,D,211220,000000,75643,76028,75531,75654,2399524
Si,D,211221,000000,75650,75650,75167,75471,2403809
Si,D,211222,000000,75480,75685,75030,75233,2161080
Si,D,211223,000000,75203,75203,74610,74720,2278760
Si,D,211224,000000,74742,75110,74486,75052,1852124
Si,D,211227,000000,75035,75058,74423,74800,2351937
Si,D,211228,000000,74799,75247,74665,75075,1812786
Si,D,211229,000000,75076,75530,74857,75334,2074026
Si,D,211230,000000,75327,76305,75115,75793,3230707
