<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,250103,000000,105610,106530,105212,106170,205109
Si,D,250106,000000,106000,106410,104011,104590,303571
Si,D,250108,000000,104605,104936,103614,104230,214223
Si,D,250109,000000,104199,105391,104041,104790,387111
Si,D,250110,000000,104850,105899,104644,105703,375280
Si,D,250113,000000,105718,106450,105321,106066,361097
Si,D,250114,000000,106065,106685,105657,105905,384680
Si,D,250115,000000,105905,106480,105512,105914,351735
Si,D,250116,000000,105888,106350,105657,106045,332261
Si,D,250117,000000,106046,106399,105069,105305,399287
Si,D,250120,000000,105319,105392,104221,104395,399059
Si,D,250121,000000,104464,104866,102827,103008,595357
Si,D,250122,000000,102951,103319,101850,102731,646563
Si,D,250123,000000,102749,103551,102571,103272,415691
Si,D,250124,000000,103250,103330,101877,102242,552539
Si,D,250127,000000,102240,102660,101118,101986,521793
Si,D,250128,000000,101986,103165,101533,101831,594405
Si,D,250129,000000,101810,102388,101220,101425,552621
Si,D,250130,000000,101399,101936,100050,100246,818417
Si,D,250131,000000,100248,101188,100090,101090,616742
Si,D,250203,000000,101360,102460,100612,101056,559480
Si,D,250204,000000,101059,101129,100340,100943,421308
Si,D,250205,000000,100951,101380,98000,98188,1195538
Si,D,250206,000000,98180,100299,97500,99863,844275
Si,D,250207,000000,99918,100293,99092,100200,633850
Si,D,250210,000000,100198,100200,98846,99283,504403
Si,D,250211,000000,99269,99319,97953,98185,871685
Si,D,250212,000000,98100,98300,92080,92720,1276648
Si,D,250213,000000,92600,94877,92202,92882,1237701
Si,D,250214,000000,92800,95208,92030,94261,1348695
Si,D,250217,000000,94260,94469,92052,92331,857437
Si,D,250218,000000,92488,93496,92334,93060,850997
Si,D,250219,000000,93062,93258,91581,91995,869406
Si,D,250220,000000,91934,92226,89120,89600,1066517
Si,D,250221,000000,89562,90990,88888,89673,977979
Si,D,250224,000000,89642,90449,88255,88355,769423
Si,D,250225,000000,88370,88633,87200,87309,855233
Si,D,250226,000000,87320,90082,86640,89728,1471180
Si,D,250227,000000,89850,91270,88565,91026,1309390
Si,D,250228,000000,91070,91236,89533,89600,985869
Si,D,250303,000000,89747,91436,89734,90320,828572
Si,D,250304,000000,90163,90819,89641,89823,700137
Si,D,250305,000000,89860,90999,89851,90876,865061
Si,D,250306,000000,90880,91204,90135,90500,531545
Si,D,250307,000000,90501,90710,88493,88622,958832
Si,D,250310,000000,88739,89350,87321,87849,626567
Si,D,250311,000000,87880,88365,86232,87700,1028457
Si,D,250312,000000,87687,88296,87170,87710,739300
Si,D,250313,000000,87740,88156,85560,86084,993740
Si,D,250314,000000,86175,86812,85376,85777,665736
Si,D,250317,000000,85747,85798,82271,82372,995929
Si,D,250318,000000,82400,83090,80567,82190,1601243
Si,D,250319,000000,88233,89066,87226,88600,768220
Si,D,250320,000000,88597,89732,88359,89186,798293
Si,D,250321,000000,89220,89793,88450,88730,642701
Si,D,250324,000000,88646,89939,87510,89328,785124
Si,D,250325,000000,89349,89579,87716,88099,640558
Si,D,250326,000000,88050,88679,87354,87878,792332
Si,D,250327,000000,87900,88353,86770,87300,700338
Si,D,250328,000000,87313,90337,86926,89886,1096835
Si,D,250331,000000,90200,90783,88949,89540,760609
Si,D,250401,000000,89600,89659,87777,88270,618068
Si,D,250402,000000,88268,88785,87701,88247,690881
Si,D,250403,000000,88186,89090,87350,88819,872754
Si,D,250404,000000,88741,91202,87768,90460,1592639
Si,D,250407,000000,90868,91855,89809,90911,1145135
Si,D,250408,000000,90882,92159,90229,92110,883339
Si,D,250409,000000,92164,92199,89011,89378,745255
Si,D,250410,000000,89420,90324,89032,89413,605999
Si,D,250411,000000,89400,89484,86921,87429,1163325
Si,D,250414,000000,87516,88050,86551,87100,896902
Si,D,250415,000000,87150,87723,86267,87120,745219
Si,D,250416,000000,87155,88474,86855,87655,880508
Si,D,250417,000000,87692,87839,84700,84741,1097976
Si,D,250418,000000,84870,86330,84137,85037,1055786
Si,D,250421,000000,84971,85482,84100,85104,535759
Si,D,250422,000000,85100,85442,84254,85040,788899
Si,D,250423,000000,85060,86856,84965,86707,765358
Si,D,250424,000000,86710,86837,85618,86015,611651
Si,D,250425,000000,86019,86100,85416,85930,485487
Si,D,250428,000000,85935,86238,84643,84874,582181
Si,D,250429,000000,84847,85280,84460,84763,641398
Si,D,250430,000000,84808,85171,83681,84549,905021
Si,D,250502,000000,84544,86000,84208,85441,461736
Si,D,250505,000000,85751,85950,83756,84022,697544
Si,D,250506,000000,84050,84317,83381,83637,566791
Si,D,250507,000000,83604,84112,82943,84076,553237
Si,D,250508,000000,84075,84894,83758,84079,411019
Si,D,250512,000000,83816,83819,82550,82701,549503
Si,D,250513,000000,82729,83180,82175,82379,562379
Si,D,250514,000000,82393,83400,82090,83067,658152
Si,D,250515,000000,82995,83048,82150,82410,408382
Si,D,250516,000000,82415,83213,82250,82725,551958
Si,D,250519,000000,82724,82835,81878,82165,500232
Si,D,250520,000000,82153,83199,81952,82750,525032
Si,D,250521,000000,82719,82768,80728,80950,1310367
Si,D,250522,000000,80971,81524,80368,81000,809322
Si,D,250523,000000,81019,81425,80325,80408,432335
Si,D,250526,000000,80476,81264,80377,81030,466959
Si,D,250527,000000,81099,81450,80921,81242,381445
Si,D,250528,000000,81240,81255,80264,80313,465147
Si,D,250529,000000,80375,80425,79000,79126,708038
Si,D,250530,000000,79014,79976,78615,79689,477569
Si,D,250602,000000,79801,80500,79476,79936,533641
Si,D,250603,000000,79927,80018,79351,79750,788924
Si,D,250604,000000,79627,80979,79149,80451,1015906
Si,D,250605,000000,80494,80749,79850,80195,587430
Si,D,250606,000000,80193,80673,79325,80021,821970
Si,D,250609,000000,80023,80094,73406,79600,515482
Si,D,250610,000000,79531,79631,78021,78092,561745
Si,D,250611,000000,78150,79994,78049,79734,819158
Si,D,250613,000000,79703,79703,78401,78735,337203
Si,D,250616,000000,78722,78977,78002,78650,672070
Si,D,250617,000000,78621,78935,78190,78412,735798
Si,D,250618,000000,82330,82578,81958,82282,645225
Si,D,250619,000000,82300,82918,82000,82728,605273
Si,D,250620,000000,82710,82821,82210,82368,419228
Si,D,250623,000000,82217,82571,81990,82360,508144
Si,D,250624,000000,82321,83311,82127,82317,707364
Si,D,250625,000000,82280,82480,81659,81850,450450
Si,D,250626,000000,81841,82150,81598,81974,396015
