<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,200325,000000,79326,80509,77969,79300,3670679
Si,D,200326,000000,79305,80135,78000,78455,2843047
Si,D,200327,000000,78522,80374,78498,79800,2404470
Si,D,200330,000000,79860,81500,79860,80349,2303588
Si,D,200331,000000,80310,80332,78627,79405,2732078
Si,D,200401,000000,79428,80343,79428,79656,2124511
Si,D,200402,000000,79616,80189,78080,78110,3155182
Si,D,200403,000000,78140,78583,77301,77310,2519495
Si,D,200406,000000,77355,77720,76739,76800,1613794
Si,D,200407,000000,76780,76780,75982,76390,1754203
Si,D,200408,000000,76415,76731,75682,75749,1493369
Si,D,200409,000000,75744,75784,73410,75055,2929038
Si,D,200410,000000,75061,75250,73926,74500,1249094
Si,D,200413,000000,74487,74603,74100,74323,1382393
Si,D,200414,000000,74322,74322,73450,73719,1760218
Si,D,200415,000000,73719,76121,73719,75577,2582335
Si,D,200416,000000,75557,75806,74455,74880,2505079
Si,D,200417,000000,74862,75116,74102,74647,1909828
Si,D,200420,000000,74670,76231,74670,76231,2151042
Si,D,200421,000000,76239,78357,76239,77755,3911186
Si,D,200422,000000,77790,78335,76464,76560,2820142
Si,D,200423,000000,76550,76550,74861,75430,2347539
Si,D,200424,000000,75450,75537,74565,75150,2107024
Si,D,200427,000000,75110,75428,74620,75092,1805709
Si,D,200428,000000,75099,75494,74342,74698,2031973
Si,D,200429,000000,74680,74680,73515,73562,1576791
Si,D,200430,000000,73549,75142,73104,74898,2520256
Si,D,200504,000000,74900,76501,74900,75261,1974432
Si,D,200505,000000,75250,75250,74027,74235,1797127
Si,D,200506,000000,74229,75514,73852,75090,2394498
Si,D,200507,000000,75040,75040,74046,74574,2076674
Si,D,200508,000000,74540,74540,73511,73801,1660083
Si,D,200512,000000,73850,74218,73356,74130,1716312
Si,D,200513,000000,74107,74686,73472,74325,2333856
Si,D,200514,000000,74301,74895,73801,73838,2646968
Si,D,200515,000000,73847,74227,73334,73935,2073732
Si,D,200518,000000,73934,73934,72874,72971,1912339
Si,D,200519,000000,72961,73056,72515,72797,1997942
Si,D,200520,000000,72830,72919,71371,71390,2676632
Si,D,200521,000000,71412,71497,70879,71236,2418868
Si,D,200522,000000,71270,72375,71270,71897,2705882
Si,D,200525,000000,71852,72109,71673,71910,1123320
Si,D,200526,000000,71860,71860,70832,71059,2050421
Si,D,200527,000000,71072,71727,71017,71229,2435258
Si,D,200528,000000,71229,71439,70350,70718,2367223
Si,D,200529,000000,70720,71050,70306,70320,2111709
Si,D,200601,000000,70301,70301,69278,69285,2369722
Si,D,200602,000000,69277,69315,68735,68875,2143030
Si,D,200603,000000,68840,69096,68351,68842,2330076
Si,D,200604,000000,68850,69696,68850,69298,2634015
Si,D,200605,000000,69275,69275,68359,68781,2417201
Si,D,200608,000000,68765,68765,68134,68288,2085551
Si,D,200609,000000,68312,69406,68312,68638,2236757
Si,D,200610,000000,69430,69753,69020,69348,136148
Si,D,200611,000000,69370,71040,69370,70960,202223
Si,D,200615,000000,71000,71877,70321,70321,473908
Si,D,200616,000000,70371,70745,69934,70467,595269
Si,D,200617,000000,70407,70675,70120,70544,831106
Si,D,200618,000000,70502,70760,69888,70625,2517426
Si,D,200619,000000,70624,70624,69863,70169,2275975
Si,D,200622,000000,70170,70322,69632,69726,1962265
Si,D,200623,000000,69700,69748,69212,69550,1648330
Si,D,200625,000000,69562,70431,69562,69672,2305413
Si,D,200626,000000,69692,70665,69678,70440,2069403
Si,D,200629,000000,70460,71098,70218,70619,2476139
Si,D,200630,000000,70636,71974,70636,71807,2775004
Si,D,200702,000000,71792,71792,70792,71170,2156826
Si,D,200703,000000,71165,72273,70916,72052,2322161
Si,D,200706,000000,72005,72709,71381,72364,2961836
Si,D,200707,000000,72397,72910,71805,72068,2746628
Si,D,200708,000000,72068,72280,71588,71654,2388752
Si,D,200709,000000,71652,71687,71031,71493,2733427
Si,D,200710,000000,71495,71982,71159,71216,2522705
Si,D,200713,000000,71195,71577,70980,71516,2285065
Si,D,200714,000000,71500,71868,71309,71328,2621140
Si,D,200715,000000,71313,71599,71128,71477,2091482
Si,D,200716,000000,71488,72103,71488,72096,1963417
Si,D,200717,000000,72105,72455,72019,72320,1945213
Si,D,200720,000000,72320,72605,71747,71776,2326352
Si,D,200721,000000,71762,71762,70920,71190,2084252
Si,D,200722,000000,71196,71719,71008,71463,2358113
Si,D,200723,000000,71460,72047,71228,71891,2652736
Si,D,200724,000000,71892,72405,71731,72121,2442744
Si,D,200727,000000,72106,72352,71816,71972,2176957
Si,D,200728,000000,72035,73088,71911,72997,2676354
Si,D,200729,000000,72983,73284,72461,72952,2588932
Si,D,200730,000000,72996,74175,72996,73560,3208056
Si,D,200731,000000,73566,74875,73566,74776,2888681
Si,D,200803,000000,74766,74969,73443,73453,2880272
Si,D,200804,000000,73450,74386,73262,73880,3048031
Si,D,200805,000000,73865,73865,72965,73220,2804562
Si,D,200806,000000,73210,73953,72986,73612,2881930
Si,D,200807,000000,73619,74235,73619,74031,2701796
Si,D,200810,000000,74035,74305,73643,73756,2163960
Si,D,200811,000000,73767,73864,72973,73428,2709162
Si,D,200812,000000,73460,74119,73280,73980,2500596
Si,D,200813,000000,73980,74048,73170,73196,2748599
Si,D,200814,000000,73218,73736,73036,73084,2267270
Si,D,200817,000000,73104,74042,73004,73930,3036185
Si,D,200818,000000,73900,73954,73159,73396,2663082
Si,D,200819,000000,73373,73796,73249,73518,2470221
Si,D,200820,000000,73522,74413,73522,74000,3309831
Si,D,200821,000000,74005,75200,73837,74997,3332061
Si,D,200824,000000,74987,74987,74340,74828,2443669
Si,D,200825,000000,74805,75916,74500,75510,3143544
Si,D,200826,000000,75520,76183,75520,75546,2969593
Si,D,200827,000000,75550,75697,74882,75149,3850628
Si,D,200828,000000,75120,75120,74138,74151,2757759
Si,D,200831,000000,74159,74673,73735,74186,2950661
Si,D,200901,000000,74180,74180,73470,73677,2640036
Si,D,200902,000000,73705,75845,73705,75509,4680893
Si,D,200903,000000,75510,75963,74968,75353,3820800
Si,D,200904,000000,75401,75755,75008,75507,3246568
Si,D,200907,000000,75490,76337,75490,75835,3112117
Si,D,200908,000000,75854,76661,75775,76372,3826928
Si,D,200909,000000,76375,76640,75333,75365,3502809
Si,D,200910,000000,76091,76466,75441,75983,288214
Si,D,200911,000000,75910,75910,75480,75749,148213
Si,D,200914,000000,75595,76275,75320,75991,523653
Si,D,200915,000000,75971,76090,75566,75736,616023
Si,D,200916,000000,75710,75834,75370,75722,1188118
Si,D,200917,000000,75732,76188,75638,75890,2889032
Si,D,200918,000000,75890,76474,75610,76449,2937067
Si,D,200921,000000,76432,77265,76229,76804,3288376
Si,D,200922,000000,76830,77166,76388,76780,3082371
Si,D,200923,000000,76800,77795,76800,77748,3757985
Si,D,200924,000000,77759,78178,77560,77805,3844427
Si,D,200925,000000,77800,79169,77306,78862,5284131
Si,D,200928,000000,78850,79974,78722,79739,4336520
Si,D,200929,000000,79745,80636,79095,79738,7592544
Si,D,200930,000000,79757,80053,78188,78251,4966468
Si,D,201001,000000,78236,78256,77620,77928,3964715
Si,D,201002,000000,77964,79418,77964,78749,4734717
Si,D,201005,000000,78745,79462,78382,78645,3474613
Si,D,201006,000000,78681,79241,78156,79035,4024044
Si,D,201007,000000,79004,79064,78464,78577,3272904
Si,D,201008,000000,78562,78668,77826,77905,3469697
Si,D,201009,000000,77902,77902,77200,77270,3700929
Si,D,201012,000000,77290,77789,77290,77657,2643696
Si,D,201013,000000,77699,77957,77360,77538,3173155
Si,D,201014,000000,77559,78254,77559,78140,3578519
Si,D,201015,000000,78167,78961,78167,78566,3359748
Si,D,201016,000000,78576,78853,78209,78375,3659212
Si,D,201019,000000,78450,78580,77900,78098,3104247
Si,D,201020,000000,78117,78540,77731,77788,3415125
Si,D,201021,000000,77780,77780,77020,77150,3119534
Si,D,201022,000000,77190,77677,76791,77040,3518420
Si,D,201023,000000,77069,77313,76522,76522,3112539
Si,D,201026,000000,76550,77031,76400,76772,3463983
Si,D,201027,000000,76830,77725,76628,77703,3944177
Si,D,201028,000000,77725,79640,77725,79629,5570554
Si,D,201029,000000,79615,80026,78972,79256,5703251
Si,D,201030,000000,79293,79972,79120,79906,4535224
Si,D,201102,000000,79920,81319,79920,80870,4343312
Si,D,201103,000000,80856,80856,79372,79674,4280103
Si,D,201105,000000,79670,79684,77104,77349,5202627
Si,D,201106,000000,77350,78228,77261,77694,4443035
Si,D,201109,000000,77680,77680,76037,76590,5436995
Si,D,201110,000000,76593,77220,76378,76840,4283834
Si,D,201111,000000,76800,77470,76300,77422,3577250
Si,D,201112,000000,77424,77820,76894,77610,4471848
Si,D,201113,000000,77610,77955,77386,77610,3063701
Si,D,201116,000000,77603,77603,76359,76380,4085561
Si,D,201117,000000,76400,76915,76324,76450,3327306
Si,D,201118,000000,76467,76584,75736,76266,3899437
Si,D,201119,000000,76304,76841,76240,76240,3734705
Si,D,201120,000000,76275,76478,76028,76395,2864413
Si,D,201123,000000,76395,76716,75750,76353,3857076
Si,D,201124,000000,76341,76353,75513,75618,3640291
Si,D,201125,000000,75636,76152,75478,75715,3383504
Si,D,201126,000000,75713,75938,75452,75893,2243790
Si,D,201127,000000,75884,76469,75703,75991,3313033
Si,D,201130,000000,76022,76728,75921,76548,3084041
Si,D,201201,000000,76528,76583,75667,75954,3975619
Si,D,201202,000000,75990,76100,75166,75168,3891059
Si,D,201203,000000,75189,75523,74370,74538,3715986
Si,D,201204,000000,74518,74538,73839,74125,2956137
Si,D,201207,000000,74148,74598,73366,73720,3840497
Si,D,201208,000000,73714,73915,73115,73571,3501791
Si,D,201209,000000,73571,74799,73218,73928,3837148
Si,D,201210,000000,74600,74640,73681,73777,238718
Si,D,201211,000000,73770,74129,73575,73637,214024
Si,D,201214,000000,73637,74695,73475,74591,541828
Si,D,201215,000000,74560,74560,73999,74069,690708
Si,D,201216,000000,74070,74417,73913,74029,1316285
Si,D,201217,000000,74020,74095,73330,73520,2973638
Si,D,201218,000000,73575,74600,73575,74001,3779963
Si,D,201221,000000,74010,76146,74010,75480,5286747
Si,D,201222,000000,75480,76605,75480,76587,4040817
Si,D,201223,000000,76581,76605,75375,75761,3984755
Si,D,201224,000000,75730,75810,74508,74533,3550864
Si,D,201225,000000,74510,74871,74250,74793,1691510
Si,D,201228,000000,74779,74845,74136,74375,2532147
Si,D,201229,000000,74374,74733,73974,74674,2834637
Si,D,201230,000000,74674,75500,74018,74908,3670181
