<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,200103,000000,62518,62790,62300,62652,923286
Si,D,200106,000000,62651,62959,62261,62346,1024972
Si,D,200108,000000,62347,62532,61612,61776,1479220
Si,D,200109,000000,61784,61928,61625,61799,1212609
Si,D,200110,000000,61791,61882,61378,61543,1384775
Si,D,200113,000000,61533,61890,61352,61764,1623785
Si,D,200114,000000,61760,62014,61695,61922,1616213
Si,D,200115,000000,61905,62280,61802,61877,2499384
Si,D,200116,000000,61877,62238,61834,62110,1454805
Si,D,200117,000000,62101,62124,61697,62000,1862399
Si,D,200120,000000,61981,62087,61808,61973,1165341
Si,D,200121,000000,61974,62402,61974,62310,1762488
Si,D,200122,000000,62299,62497,62181,62251,1448005
Si,D,200123,000000,62259,62510,62235,62312,1503983
Si,D,200124,000000,62300,62677,62095,62480,1957644
Si,D,200127,000000,62482,63497,62482,63365,2617230
Si,D,200128,000000,63350,63528,62650,62653,2577957
Si,D,200129,000000,62651,63200,62650,62925,2154388
Si,D,200130,000000,62939,63878,62939,63620,2534721
Si,D,200131,000000,63620,64295,63378,64289,2720815
Si,D,200203,000000,64278,64448,63752,64065,2847460
Si,D,200204,000000,64030,64030,63170,63438,2402916
Si,D,200205,000000,63439,63617,62856,63190,2677438
Si,D,200206,000000,63180,63747,63015,63661,2366764
Si,D,200207,000000,63661,64528,63520,64412,2938230
Si,D,200210,000000,64387,64580,63919,64400,2352803
Si,D,200211,000000,64383,64386,63502,63629,2768331
Si,D,200212,000000,63628,63628,63158,63462,2161734
Si,D,200213,000000,63465,64042,63465,63897,2645854
Si,D,200214,000000,63877,63877,63600,63793,1652572
Si,D,200217,000000,63776,63800,63430,63674,1322002
Si,D,200218,000000,63689,64434,63689,64032,2575945
Si,D,200219,000000,64032,64083,63656,63778,1815978
Si,D,200220,000000,63795,64500,63771,64401,2494629
Si,D,200221,000000,64405,64748,64064,64212,2698501
Si,D,200225,000000,64238,65772,64238,65554,3410226
Si,D,200226,000000,65557,65893,65112,65657,3491538
Si,D,200227,000000,65659,66577,65596,66172,3832985
Si,D,200228,000000,66173,67798,66173,67047,5381369
Si,D,200302,000000,67020,67474,66235,66565,4404205
Si,D,200303,000000,66590,66806,65515,66200,4577030
Si,D,200304,000000,66160,66676,65638,66377,3550796
Si,D,200305,000000,66375,67913,66123,67788,3658284
Si,D,200306,000000,67789,68694,67423,68662,5320598
Si,D,200310,000000,69555,76480,69127,72550,280842
Si,D,200311,000000,72436,74382,72266,73871,205259
Si,D,200312,000000,74200,76869,74200,76304,463546
Si,D,200313,000000,76101,76101,73225,73701,385666
Si,D,200316,000000,73800,76750,73800,75865,647283
Si,D,200317,000000,75731,76604,74577,76550,758455
Si,D,200318,000000,76550,84250,76550,82143,2187834
Si,D,200319,000000,82045,83222,79720,80446,3604122
Si,D,200320,000000,80397,81387,78500,81190,4146555
Si,D,200323,000000,81250,82530,80426,80683,3356275
Si,D,200324,000000,80650,80650,79227,79346,2345887
