<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,240418,000000,95864,96050,95059,95144,781680
Si,D,240419,000000,95141,95326,94405,94610,709720
Si,D,240422,000000,94675,94877,94310,94631,464453
Si,D,240423,000000,94666,94691,94156,94265,475964
Si,D,240424,000000,94263,94266,93665,93726,631913
Si,D,240425,000000,93745,94045,93560,93660,629061
Si,D,240426,000000,93727,93980,92767,93190,889240
Si,D,240427,000000,93180,93987,93076,93876,370255
Si,D,240429,000000,93960,94720,93869,94130,392531
Si,D,240430,000000,94303,94648,94011,94198,333029
Si,D,240502,000000,94167,94167,93121,93450,752635
Si,D,240503,000000,93451,93480,93047,93193,617359
Si,D,240506,000000,93263,93465,92345,92846,677472
Si,D,240507,000000,92848,92990,92400,92799,532861
Si,D,240508,000000,92902,93475,92685,93199,778232
Si,D,240510,000000,93227,93719,93000,93350,328460
Si,D,240513,000000,93373,93504,92438,92501,676614
Si,D,240514,000000,92526,92870,92325,92573,523926
Si,D,240515,000000,92550,92600,91886,92020,660256
Si,D,240516,000000,92040,92202,91702,91875,499581
Si,D,240517,000000,91931,92078,91668,91728,488475
Si,D,240520,000000,91770,91920,91122,91615,589960
Si,D,240521,000000,91593,91593,90714,90867,552418
Si,D,240522,000000,90829,91209,90487,91137,537277
Si,D,240523,000000,91146,91234,90601,90649,439171
Si,D,240524,000000,90682,90684,90040,90334,554450
Si,D,240527,000000,90275,90334,89064,89172,632541
Si,D,240528,000000,89223,89713,89010,89521,616497
Si,D,240529,000000,89560,90792,89539,90450,826777
Si,D,240530,000000,90600,90845,90341,90705,638716
Si,D,240531,000000,90906,91062,90202,90220,579926
Si,D,240603,000000,90404,90680,89280,89607,823677
Si,D,240604,000000,89727,89848,88940,89288,653250
Si,D,240605,000000,89292,89512,88868,89096,574574
Si,D,240606,000000,89119,89593,88811,89001,777985
Si,D,240607,000000,89078,89948,88784,89405,918985
Si,D,240610,000000,89590,89719,88546,88800,581774
Si,D,240611,000000,88833,89553,88738,89371,635337
Si,D,240613,000000,88999,89250,85888,88848,1398426
Si,D,240614,000000,88848,89433,88639,89140,637033
Si,D,240617,000000,89156,89324,87165,87410,714981
Si,D,240618,000000,87407,87750,85011,85251,925707
Si,D,240619,000000,85530,85600,81910,82116,877621
Si,D,240620,000000,82100,87888,81536,87617,1320477
Si,D,240621,000000,87604,88990,85650,86984,1175816
Si,D,240624,000000,86900,87650,85280,85400,742800
Si,D,240625,000000,85427,87070,85101,86862,612905
Si,D,240626,000000,86961,87416,85503,85715,609336
Si,D,240627,000000,85697,86322,84141,85641,817871
Si,D,240628,000000,85640,87295,85214,87130,789270
Si,D,240701,000000,87201,87800,86911,87702,564416
Si,D,240702,000000,87749,88579,87300,87575,715333
Si,D,240703,000000,87492,88940,87351,88628,574324
Si,D,240704,000000,88628,89817,88628,89581,440345
Si,D,240705,000000,89585,89800,88100,89102,650629
Si,D,240708,000000,89103,89637,88406,88678,501137
Si,D,240709,000000,88698,89041,87576,87970,629893
Si,D,240710,000000,88018,89176,87805,88975,554886
Si,D,240711,000000,88975,89374,88531,88673,525607
Si,D,240712,000000,88681,89144,88596,88810,398444
Si,D,240715,000000,88901,89335,88035,89129,640644
Si,D,240716,000000,89128,89350,88525,88816,422395
Si,D,240717,000000,88855,89070,87904,87904,411739
Si,D,240718,000000,87967,88465,87808,88440,449881
Si,D,240719,000000,88461,88845,87762,87959,445314
Si,D,240722,000000,87940,88523,87732,88445,364028
Si,D,240723,000000,88439,88449,87220,87532,399794
Si,D,240724,000000,87532,87532,86800,86880,305076
Si,D,240725,000000,86850,86860,86010,86409,464865
Si,D,240726,000000,86340,87615,86152,87300,723640
Si,D,240729,000000,87287,87599,86516,86692,374431
Si,D,240730,000000,86720,87330,86650,87130,378225
Si,D,240731,000000,87128,87250,86029,86280,532405
Si,D,240801,000000,86299,86650,85600,85867,416044
Si,D,240802,000000,85752,86492,85506,85976,543040
Si,D,240805,000000,85983,86242,84941,85795,576979
Si,D,240806,000000,85816,86386,85183,86284,536605
Si,D,240807,000000,86452,86491,85900,86207,412174
Si,D,240808,000000,86225,86876,86000,86509,522071
Si,D,240809,000000,86511,87020,86320,86582,515751
Si,D,240812,000000,86636,89100,86403,88715,913243
Si,D,240813,000000,88768,89890,88570,89527,1067129
Si,D,240814,000000,89550,89925,87567,87717,798872
Si,D,240815,000000,87697,88420,87334,88020,537274
Si,D,240816,000000,88018,88609,87630,88249,468369
Si,D,240819,000000,88253,88774,88038,88497,388517
Si,D,240820,000000,88497,89330,88000,89061,503950
Si,D,240821,000000,89129,89548,88556,88860,461764
Si,D,240822,000000,88884,88950,87289,87767,623615
Si,D,240823,000000,87777,89045,87467,88603,661800
Si,D,240826,000000,88694,89651,88213,89113,659823
Si,D,240827,000000,89105,89789,88760,89600,526971
Si,D,240828,000000,89600,89967,88934,89412,522477
Si,D,240829,000000,89413,90125,89303,89977,653571
Si,D,240830,000000,89987,90444,89400,89775,476742
Si,D,240902,000000,89695,89901,88550,88776,536453
Si,D,240903,000000,88808,88932,87605,87635,658193
Si,D,240904,000000,87737,89028,87640,88797,898468
Si,D,240905,000000,88803,89150,88129,88415,648170
Si,D,240906,000000,88400,89438,88270,89244,544247
Si,D,240909,000000,89273,90200,89214,90161,426061
Si,D,240910,000000,90177,90650,89925,90408,392813
Si,D,240911,000000,90384,90578,89531,89876,608029
Si,D,240912,000000,89907,90500,89876,90272,386823
Si,D,240913,000000,90272,90549,89710,90470,395236
Si,D,240916,000000,90460,91398,90423,91153,471370
Si,D,240917,000000,91131,91296,90450,90850,483742
Si,D,240918,000000,91936,92280,91001,91550,427434
Si,D,240919,000000,91531,92139,91144,91438,640932
Si,D,240920,000000,91459,92830,91190,92670,665648
Si,D,240923,000000,92670,92850,92114,92530,366280
Si,D,240924,000000,92531,92850,91545,91583,557165
Si,D,240925,000000,91618,92099,91160,91858,356389
Si,D,240926,000000,91839,92404,91609,92258,387517
Si,D,240927,000000,92258,92800,92200,92740,375520
Si,D,240930,000000,92747,93100,92565,93031,390031
Si,D,241001,000000,93033,93741,92701,93701,450760
Si,D,241002,000000,93700,94440,93570,94390,420850
Si,D,241003,000000,94390,94866,94055,94354,522659
Si,D,241004,000000,94300,95190,94077,94629,369182
Si,D,241007,000000,94643,95740,94555,95546,348185
Si,D,241008,000000,95546,96150,95204,95775,516812
Si,D,241009,000000,95850,96427,95600,95988,466222
Si,D,241010,000000,96024,96350,95100,95162,516664
Si,D,241011,000000,95161,95417,94200,94880,462170
Si,D,241014,000000,94961,95297,94455,95079,312528
Si,D,241015,000000,95080,96700,94985,96600,372719
Si,D,241016,000000,96599,97149,95811,96097,512468
Si,D,241017,000000,96096,96455,95186,95384,611333
Si,D,241018,000000,95383,95383,94333,94501,592964
Si,D,241021,000000,94499,95428,94371,95208,394756
Si,D,241022,000000,95218,95956,95160,95815,278419
Si,D,241023,000000,95851,95951,95250,95346,299462
Si,D,241024,000000,95372,96159,95270,96114,272570
Si,D,241025,000000,96140,96487,95443,96234,490953
Si,D,241028,000000,96244,97984,96201,97930,496553
Si,D,241029,000000,97919,98049,97368,97650,390947
Si,D,241030,000000,97662,97863,96702,96849,365703
Si,D,241031,000000,96921,97798,96860,97101,452370
Si,D,241101,000000,97108,98083,97054,97704,355600
Si,D,241102,000000,97704,97878,97231,97432,163429
Si,D,241105,000000,97510,98277,97510,97781,378245
Si,D,241106,000000,97380,98591,97000,98131,463968
Si,D,241107,000000,98045,98322,97660,97906,406521
Si,D,241108,000000,97937,98400,97770,98064,437732
Si,D,241111,000000,98069,98666,97755,97786,465399
Si,D,241112,000000,97755,98557,97635,98519,326920
Si,D,241113,000000,98509,98848,98343,98629,399169
Si,D,241114,000000,98630,99818,98603,99755,396195
Si,D,241115,000000,99720,100110,99217,99515,551717
Si,D,241118,000000,99652,100238,99600,99895,333249
Si,D,241119,000000,99883,100500,99700,100482,365978
Si,D,241120,000000,100450,100699,100120,100564,374866
Si,D,241121,000000,100563,101568,100411,101326,423112
Si,D,241122,000000,101370,103649,101071,103486,659858
Si,D,241125,000000,103412,105808,103290,105581,689735
Si,D,241126,000000,105703,107780,104681,107471,973154
Si,D,241127,000000,107478,110933,105569,106798,2124993
Si,D,241128,000000,106875,108788,106648,108500,975825
Si,D,241129,000000,108498,108700,105959,106420,815712
Si,D,241202,000000,106515,107770,106130,106802,542832
Si,D,241203,000000,106778,107094,104201,104384,679657
Si,D,241204,000000,104388,105235,103292,105230,892320
Si,D,241205,000000,105210,105258,100513,101061,1178617
Si,D,241206,000000,101073,101424,98767,99301,1183081
Si,D,241209,000000,99282,102479,98752,102060,686721
Si,D,241210,000000,102061,102172,100315,101393,856457
Si,D,241211,000000,101473,104716,101201,104155,840458
Si,D,241212,000000,104150,104693,102300,103249,899706
Si,D,241213,000000,103207,103934,102623,103292,699747
Si,D,241216,000000,103297,103729,102184,102597,689306
Si,D,241217,000000,102584,104258,102574,104175,635212
Si,D,241218,000000,104987,106398,104375,104450,479191
Si,D,241219,000000,106160,106948,105567,106250,898152
Si,D,241220,000000,106097,107214,104925,106397,974770
Si,D,241223,000000,106400,106519,104379,104956,882502
Si,D,241224,000000,104955,105388,104250,105000,641007
Si,D,241225,000000,104900,105577,104572,104677,536289
Si,D,241226,000000,104678,105173,103266,103290,742786
Si,D,241227,000000,103290,104798,102650,103130,967082
Si,D,241228,000000,103160,104485,103035,104348,353329
Si,D,241230,000000,104239,105746,103336,105425,303223
