<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,240103,000000,92002,93387,92002,93258,436455
Si,D,240104,000000,93279,93383,92025,92200,508063
Si,D,240105,000000,92177,92447,91205,91391,489702
Si,D,240108,000000,91472,92499,90955,92038,726309
Si,D,240109,000000,92000,92056,90377,91060,943476
Si,D,240110,000000,91008,91178,90510,90972,734790
Si,D,240111,000000,90985,91050,89810,89869,879918
Si,D,240112,000000,89809,90115,89321,89897,719083
Si,D,240115,000000,89670,89743,89000,89171,899834
Si,D,240116,000000,89218,90107,88945,89415,895609
Si,D,240117,000000,89509,90542,89381,90255,916160
Si,D,240118,000000,90507,90720,89923,90489,766002
Si,D,240119,000000,90480,90481,89507,89668,719369
Si,D,240122,000000,89723,89830,89042,89501,656888
Si,D,240123,000000,89444,90520,88988,90297,815010
Si,D,240124,000000,90016,90242,89598,89968,745197
Si,D,240125,000000,90018,90983,89942,90505,871678
Si,D,240126,000000,90678,91640,90505,91560,1085182
Si,D,240129,000000,91774,91800,90200,90260,898523
Si,D,240130,000000,90293,91020,89919,90820,746473
Si,D,240131,000000,90848,91488,90579,91457,972957
Si,D,240201,000000,91481,92000,91131,91834,793348
Si,D,240202,000000,91939,92795,91772,92184,1038800
Si,D,240205,000000,92310,93144,91531,91774,1215951
Si,D,240206,000000,91771,92559,91680,92469,706853
Si,D,240207,000000,92410,92846,91934,92573,790778
Si,D,240208,000000,92566,92721,91439,91585,939365
Si,D,240209,000000,91683,92048,91327,91941,736507
Si,D,240212,000000,91919,92266,91600,92016,744786
Si,D,240213,000000,91985,92355,91811,92028,653896
Si,D,240214,000000,92078,92551,91959,92367,653793
Si,D,240215,000000,92390,93173,92183,92934,900648
Si,D,240216,000000,92993,93443,92277,92519,1342145
Si,D,240219,000000,92558,93120,92545,92990,681571
Si,D,240220,000000,93098,93127,92559,92746,734382
Si,D,240221,000000,92699,93265,92571,93153,996511
Si,D,240222,000000,93212,93617,91990,93330,1640029
Si,D,240226,000000,93284,93284,92180,92604,798693
Si,D,240227,000000,92604,92810,92238,92577,557101
Si,D,240228,000000,92663,92697,91609,91710,881571
Si,D,240229,000000,91740,91899,91071,91490,931363
Si,D,240301,000000,91628,92368,91628,92156,609735
Si,D,240304,000000,92154,92200,91485,91645,579661
Si,D,240305,000000,91706,91836,91051,91104,617560
Si,D,240306,000000,91186,91472,90692,91238,753363
Si,D,240307,000000,91249,91695,91110,91239,701617
Si,D,240311,000000,91272,91323,90779,91027,583909
Si,D,240312,000000,91023,92220,90961,92178,816204
Si,D,240313,000000,92134,92160,91542,91815,704369
Si,D,240314,000000,91829,92260,91763,91970,707933
Si,D,240315,000000,92042,93049,91869,92860,728532
Si,D,240318,000000,92933,93000,91456,92037,883903
Si,D,240319,000000,92042,92943,91888,92702,757951
Si,D,240320,000000,94848,95251,94578,94900,534511
Si,D,240321,000000,94817,95113,93901,94597,1099740
Si,D,240322,000000,94707,96085,94584,95705,928730
Si,D,240325,000000,95667,95670,94870,95318,802391
Si,D,240326,000000,95313,95320,94700,95129,602910
Si,D,240327,000000,95129,95308,94218,94377,927525
Si,D,240328,000000,94374,94899,94308,94712,733428
Si,D,240329,000000,94826,94844,94050,94513,1080809
Si,D,240401,000000,94500,94838,94255,94724,623515
Si,D,240402,000000,94777,95188,94565,94797,660272
Si,D,240403,000000,94790,94990,94207,94631,695276
Si,D,240404,000000,94631,94737,94320,94445,515033
Si,D,240405,000000,94476,94991,94475,94669,596669
Si,D,240408,000000,94676,94923,94552,94814,482746
Si,D,240409,000000,94815,95235,94767,95125,466137
Si,D,240410,000000,95142,95858,95077,95680,680215
Si,D,240411,000000,95671,96131,95057,95287,766175
Si,D,240412,000000,95356,95600,95000,95140,604041
Si,D,240415,000000,95123,95499,95001,95396,423914
Si,D,240416,000000,95543,96300,95465,96155,782172
Si,D,240417,000000,96180,96279,95682,95855,573839
